Name;Level;TID;InfoTID;DisableProduction;SpellForgeLevel;LaboratoryLevel;DonateCost;HousingSpace;TrainingTime;DeployTimeMS;ChargingTimeMS;HitTimeMS;UpgradeTimeH;UpgradeResource;UpgradeCost;BoostTimeMS;SpeedBoost;SpeedBoost2;JumpHousingLimit;JumpBoostMS;DamageBoostPercent;BuildingDamageBoostPercent;Damage;TroopDamagePermil;BuildingDamagePermil;ExecuteHealthPermil;DamagePermilMin;PreferredDamagePermilMin;Radius;NumberOfHits;RandomRadius;TimeBetweenHitsMS;IconSWF;IconExportName;BigPicture;PreDeployEffect;DeployEffect;DeployEffect2Delay;DeployEffect2;ChargingEffect;HitEffect;RandomRadiusAffectsOnlyGfx;FreezeTimeMS;SpawnObstacle;NumObstacles;StrengthWeight;ProductionBuilding;TargetInfoString;PreferredTarget;PreferredTargetDamageMod;HeroDamageMultiplier;ShieldProjectileSpeed;ShieldProjectileDamageMod;ExtraHealthPermil;ExtraHealthMin;ExtraHealthMax;PoisonDPS;PoisonIncreaseSlowly;AttackSpeedBoost;BoostLinkedToPoison;PoisonAffectAir;ScaleDeployEffects;ShieldTime;ShieldProtectionPercent;MaxUnitsHit;EnemyDeployEffect;SnapToGrid;DuplicateHousing;DuplicateLifetime;SummonTroop;UnitsToSpawn;ShrinkReduceSpeedRatio;ShrinkHitpointsRatio;SpawnDuration;SpawnFirstGroupSize;DamageTHPercent;ScaleByTH;EnabledByCalendar;VillageType;PauseCombatComponentsMs;UpgradeLevelByTH;ChangeTeamTime;InvisibilityTime;FreezeOuterTimeMS;ConeAngle;FreezePercent;MinRadius;MinDamage;StunTimeMS;TornadoForce1;TornadoForce2;TornadoForce3;TornadoForce4;TornadoForce5;TornadoForceAir1;TornadoForceAir2;TornadoForceAir3;TornadoForceAir4;TornadoForceAir5;TornadoRotationSpeed;TornadoSpeedTowardsCenter;TornadoInnerRadius;TornadoInnerForcePercent;TornadoOuterForcePercent;ChainSpell;AffectsSiegeMachines;BoostDefenders;ImmunitySiegeMachines;ImmunityOtherCharacters;ImmunityTH_CC;ImmunityStorages;ImmunityWalls;ImmunityOtherBuildings;CapitalAttackCount;DestroyWalls;RecallHousing
LighningStorm;10;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;FALSE;1;13;5;1;180;800;0;100;384;Elixir;16000000;0;0;0;0;0;0;0;600;0;0;0;0;0;200;1;0;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area small;0;0;Lightning Spell;Lightning Spell Hit;;100;0;0;22;Spell Forge;TID_PREFERRED_TARGET_ANY;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;1;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;2;10;2;360;800;300;400;5;Elixir;75000;0;0;0;0;0;0;0;-15;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;TRUE;100;0;0;230;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;2;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;2;10;2;360;800;300;400;10;Elixir;150000;0;0;0;0;0;0;0;-20;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;215;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;3;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;4;10;2;360;800;300;400;20;Elixir;300000;0;0;0;0;0;0;0;-25;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;200;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;4;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;5;10;2;360;800;300;400;36;Elixir;900000;0;0;0;0;0;0;0;-30;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;190;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;5;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;6;10;2;360;800;300;400;96;Elixir;1800000;0;0;0;0;0;0;0;-35;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;180;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;6;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;7;10;2;360;800;300;400;144;Elixir;3000000;0;0;0;0;0;0;0;-40;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;170;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;7;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;8;10;2;360;800;300;400;288;Elixir;10500000;0;0;0;0;0;0;0;-45;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;170;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;8;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;11;10;2;360;800;300;400;408;Elixir;17000000;0;0;0;0;0;0;0;-50;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;200;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
HealingWave;9;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;FALSE;2;13;10;2;360;800;300;400;408;Elixir;17000000;0;0;0;0;0;0;0;-55;0;0;0;0;0;500;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;0;Heal area top;Lightning Spell;Heal spell;;100;0;0;200;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;1;TID_HASTE;TID_HASTE_INFO;FALSE;3;3;10;2;360;800;300;400;12;Elixir;400000;1000;20;10;0;0;130;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;TRUE;100;0;0;100;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;2;TID_HASTE;TID_HASTE_INFO;FALSE;3;3;10;2;360;800;300;400;24;Elixir;800000;1000;22;11;0;0;140;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;;100;0;0;95;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;3;TID_HASTE;TID_HASTE_INFO;FALSE;3;4;10;2;360;800;300;400;48;Elixir;1600000;1000;24;12;0;0;150;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;;100;0;0;90;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;4;TID_HASTE;TID_HASTE_INFO;FALSE;3;5;10;2;360;800;300;400;96;Elixir;2400000;1000;26;13;0;0;160;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;;100;0;0;85;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;5;TID_HASTE;TID_HASTE_INFO;FALSE;3;6;10;2;360;800;300;400;192;Elixir;7700000;1000;28;14;0;0;170;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;;100;0;0;80;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Haste;6;TID_HASTE;TID_HASTE_INFO;FALSE;3;10;10;2;360;800;300;400;192;Elixir;7700000;1000;30;15;0;0;180;0;-55;0;0;0;0;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;0;Rage deploy top;Lightning Spell;Heal spell;;100;0;0;95;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Jump;1;TID_JUMP_SPELL;TID_JUMP_SPELL_INFO;FALSE;4;4;10;2;360;800;300;400;96;Elixir;2000000;1000;30;15;100;400;180;0;-55;0;0;0;0;0;350;66;400;300;sc/ui.sc;icon_spell_jump;icon_spell_jump;Jump predeploy;Jump deploy lvl1;0;Jump deploy top lvl1;Lightning Spell;Heal spell;TRUE;100;0;0;250;Spell Forge;TID_INFO_TARGET_TYPE_GROUND;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Jump;2;TID_JUMP_SPELL;TID_JUMP_SPELL_INFO;FALSE;4;5;10;2;360;800;300;400;144;Elixir;3400000;1000;30;15;100;400;180;0;-55;0;0;0;0;0;350;133;400;300;sc/ui.sc;icon_spell_jump;icon_spell_jump;Jump predeploy;Jump deploy lvl2;0;Jump deploy top lvl2;Lightning Spell;Heal spell;;100;0;0;170;Spell Forge;TID_INFO_TARGET_TYPE_GROUND;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Jump;3;TID_JUMP_SPELL;TID_JUMP_SPELL_INFO;FALSE;4;8;10;2;360;800;300;400;270;Elixir;9000000;1000;30;15;100;400;180;0;-55;0;0;0;0;0;350;199;400;300;sc/ui.sc;icon_spell_jump;icon_spell_jump;Jump predeploy;Jump deploy lvl3;0;Jump deploy top lvl3;Lightning Spell;Heal spell;;100;0;0;130;Spell Forge;TID_INFO_TARGET_TYPE_GROUND;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Jump;4;TID_JUMP_SPELL;TID_JUMP_SPELL_INFO;FALSE;4;11;10;2;360;800;300;400;396;Elixir;16500000;1000;30;15;100;400;180;0;-55;0;0;0;0;0;350;266;400;300;sc/ui.sc;icon_spell_jump;icon_spell_jump;Jump predeploy;Jump deploy lvl4;0;Jump deploy top lvl4;Lightning Spell;Heal spell;;100;0;0;110;Spell Forge;TID_INFO_TARGET_TYPE_GROUND;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Jump;5;TID_JUMP_SPELL;TID_JUMP_SPELL_INFO;FALSE;4;13;10;2;360;800;300;400;396;Elixir;16500000;1000;30;15;100;400;180;0;-55;0;0;0;0;0;350;333;400;300;sc/ui.sc;icon_spell_jump;icon_spell_jump;Jump predeploy;Jump deploy lvl5;0;Jump deploy top lvl5;Lightning Spell;Heal spell;;100;0;0;90;Spell Forge;TID_INFO_TARGET_TYPE_GROUND;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
xmas;1;TID_XMAS_SPELL;TID_XMAS_SPELL_INFO;TRUE;1;1;10;2;90000;800;4500;6000;396;Elixir;16500000;1000;30;15;100;400;180;0;300;0;0;0;0;0;100;5;400;100;sc/ui.sc;icon_spell_xmas;icon_spell_xmas;xmas predeploy;xmas Red Smoke;2500;xmas test;xmas Drop Bombs;xmas boom;FALSE;100;0;0;0;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;70;TRUE;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Freeze;1;TID_FREEZE_SPELL;TID_FREEZE_SPELL_INFO;FALSE;4;7;5;1;180;800;300;400;36;Elixir;1200000;1000;30;15;100;400;180;0;300;0;0;0;0;0;350;1;400;0;sc/ui.sc;icon_spell_freeze;icon_spell_freeze;Freeze predeploy;Freeze deploy lvl1;2500;Freeze deploy2 lvl1;xmas Drop Bombs;xmas boom;TRUE;2500;0;0;1000;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;70;;;0;0;0;0;0;2250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TRUE;;;;;;;;0;;0
Freeze;2;TID_FREEZE_SPELL;TID_FREEZE_SPELL_INFO;FALSE;4;7;5;1;180;800;300;400;62;Elixir;1700000;1000;30;15;100;400;180;0;300;0;0;0;0;0;350;1;400;0;sc/ui.sc;icon_spell_freeze;icon_spell_freeze;Freeze predeploy;Freeze deploy lvl2;2500;Freeze deploy2 lvl2;xmas Drop Bombs;xmas boom;;3000;0;0;1150;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;70;;;0;0;0;0;0;2700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
Freeze;3;TID_FREEZE_SPELL;TID_FREEZE_SPELL_INFO;FALSE;4;8;5;1;180;800;300;400;102;Elixir;3000000;1000;30;15;100;400;180;0;300;0;0;0;0;0;350;1;400;0;sc/ui.sc;icon_spell_freeze;icon_spell_freeze;Freeze predeploy;Freeze deploy lvl3;2500;Freeze deploy2 lvl3;xmas Drop Bombs;xmas boom;;3500;0;0;1300;Spell Forge;TID_INFO_TARGET_TYPE_GROUND_AND_AIR;0;0;55;0;0;0;0;0;0;;0;;;;0;0;0;0;;0;0;0;0;0;0;0;0;70;;;0;0;0;0;0;3150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;0
