Name;BuildingLevel;TID;InfoTID;BuildingClass;SecondaryTargetingClass;ShopBuildingClass;SWF;ExportName;ExportNameNpc;ExportNameConstruction;ExportNameLocked;BuildTimeD;BuildTimeH;BuildTimeM;BuildTimeS;BuildResource;BuildCost;TownHallLevel;CapitalHallLevel;Width;Height;Icon;ExportNameBuildAnim;ExportNameUpgradeAnim;MaxStoredGold;MaxStoredElixir;MaxStoredDarkElixir;MaxStoredWarGold;MaxStoredWarElixir;MaxStoredWarDarkElixir;MaxStoredGold2;MaxStoredElixir2;PercentageStoredGold;PercentageStoredElixir;PercentageStoredDarkElixir;LootOnDestruction;Bunker;Village2Housing;HousingSpace;HousingSpaceAlt;HousingSpaceSiege;ProducesResource;ResourcePer100Hours;ResourceMax;ResourceIconLimit;UnitProduction;UpgradesUnitType;ProducesUnitsOfType;LevelRequirementTID;BoostCost;FreeBoost;Hitpoints;RegenTime;AttackRange;AltAttackMode;AltAttackRange;PrepareSpeed;AttackSpeed;AltAttackSpeed;CoolDownOverride;DPS;AltDPS;Damage;PreferredTarget;PreferredTargetDamageMod;RandomHitPosition;DestroyEffect;DestroyDamageEffect;AttackEffect;AttackEffect2;ChainAttackDistance;ChainAttackMaxTargets;ChainAttackDelay;ChainAttackDamageReductionPercent;AttackEffectAlt;HitEffect;Projectile;AltProjectile;ExportNameDamagedSWF;ExportNameDamaged;BuildingW;BuildingH;BaseGfx;ExportNameBase;AirTargets;GroundTargets;MultiTargets;NumMultiTargets;AltAirTargets;AltGroundTargets;AltMultiTargets;AmmoCount;AmmoResource;AmmoCost;MinAttackRange;DamageRadius;PushBack;WallCornerPieces;LoadAmmoEffect;NoAmmoEffect;ToggleAttackModeEffect;PickUpEffect;PlacingEffect;AnimateTurret;DefenderCharacter;DefenderCount;DefenderZ;AltDefenderZ;DestructionXP;Locked;StartingHomeCount;Hidden;AOESpell;AOESpellAlternate;TriggerRadius;ExportNameTriggered;AppearEffect;ForgesSpells;ForgesMiniSpells;IsHeroBarrack;HeroType;IncreasingDamage;DPSLv2;DPSLv3;DPSMulti;Lv2SwitchTime;Lv3SwitchTime;AttackEffectLv2;AttackEffectLv3;TransitionEffectLv2;TransitionEffectLv3;AltNumMultiTargets;PreventsHealing;StrengthWeight;AlternatePickNewTargetDelay;AltBuildResource;SpeedMod;StatusEffectTime;ShockwavePushStrength;ShockwaveArcLength;ShockwaveExpandRadius;TargetingConeAngle;AimRotateStep;PenetratingProjectile;PenetratingRadius;PenetratingExtraRange;TurnSpeed;NeedsAim;TargetGroups;TargetGroupsRadius;HitSpell;HitSpellLevel;ExportNameBeamStart;ExportNameBeamEnd;Damage2;Damage2Radius;Damage2Delay;Damage2Min;Damage2FalloffStart;Damage2FalloffEnd;HitEffect2;WakeUpSpeed;WakeUpSpace;PreAttackEffect;ShareHeroCombatData;BurstCount;BurstDelay;AltBurstCount;AltBurstDelay;DummyProjectileCount;DieDamage;DieDamageRadius;DieDamageEffect;DieDamageDelay;IsRed;VillageType;WallBlockX;WallBlockY;RedMul;GreenMul;BlueMul;RedAdd;GreenAdd;BlueAdd;DefenceTroopCount;DefenceTroopCharacter;DefenceTroopCharacter2;DefenceTroopLevel;AmountCanBeUpgraded;SelfAsAoeCenter;NewTargetAttackDelay;GearUpBuilding;GearUpLevelRequirement;GearUpResource;GearUpCost;GearUpTime;GearUpTID;StartUpgradeBoosterCost;ActivateCombatOnDamageTaken;ActivatedCombatAddBuildingClass;CombatActivationDelay;CombatActivationEffect;Weapon;HintPriority;UpgradeTasks;UpgradeTasksRequired;AnimationActionFrame;SpellOnNearbyDamage;DamagePermilHp;ProjectileVariantByTargetMaxHP;DefaultProjectileVariant;PreviewScenario;CustomTargetHitBuildingInRange;UnlockWeaponMode
Troop Housing;10;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl10;0;fireplace_const;0;9;18;0;0;Elixir;6300000;12;12;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;70;0;0;0;0;0;0;0;0;0;0;0;;700;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl8_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;11;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl11;0;fireplace_const;0;12;0;0;0;Elixir;12000000;13;13;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;75;0;0;0;0;0;0;0;0;0;0;0;;800;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl8_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Troop Housing;12;TID_BUILDING_HOUSING;TID_HOUSING_INFO;Army;0;0;sc/buildings.sc;fireplace_lvl12;0;fireplace_const;0;16;0;0;0;Elixir;19000000;15;15;4;4;0;fireplace_upg;0;0;0;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;850;15;0;;0;0;0;0;0;0;0;0;0;0;;Building Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;gen_destructed_state4;2;2;0;fireplace_lvl8_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Troop Housing Pickup;Troop Housing Placing;;0;0;0;0;0;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;;0
Town Hall;1;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl1;goblin_townhall_lvl1;town_hall_const;0;0;0;0;0;Gold;0;0;15;4;4;0;town_hall_upg;0;1000;1000;0;0;0;0;0;0;0;0;0;TRUE;;0;80;0;0;0;0;0;0;0;0;0;0;0;;450;20;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;1;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;TRUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;2;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl2;goblin_townhall_lvl1;town_hall_const;0;0;0;0;10;Gold;1000;1;15;4;4;0;town_hall_upg;0;2500;2500;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;1600;21;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;2;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;3;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl3;goblin_townhall_lvl1;town_hall_const;0;0;1;0;0;Gold;4000;2;15;4;4;0;town_hall_upg;0;10000;10000;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;1850;22;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;3;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;4;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl4;goblin_townhall_lvl1;town_hall_const;0;0;3;0;0;Gold;25000;3;15;4;4;0;town_hall_upg;0;50000;50000;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;2100;23;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;4;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;5;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl5;goblin_townhall_lvl1;town_hall_const;0;0;6;0;0;Gold;150000;4;15;4;4;0;town_hall_upg;0;100000;100000;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;2400;24;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;5;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;6;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl6;goblin_townhall_lvl1;town_hall_const;0;0;12;0;0;Gold;750000;5;15;4;4;0;town_hall_upg;0;300000;300000;0;0;0;0;0;0;0;0;0;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;2800;25;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;6;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
Town Hall;7;TID_BUILDING_TOWN_HALL;TID_TOWN_HALL_INFO;Town Hall;Resource;0;sc/buildings.sc;town_hall_lvl7;goblin_townhall_lvl1;town_hall_const;0;0;18;0;0;Gold;1000000;6;15;4;4;0;town_hall_upg;0;500000;500000;2500;0;0;0;0;0;0;0;20;;;0;80;0;0;0;0;0;0;0;0;0;0;0;;3300;26;0;;0;0;0;0;0;0;0;0;0;0;;Town Hall Destroyed;0;0;0;0;0;0;0;0;0;0;0;0;town_hall_broken;3;3;0;townhall_base;0;;;0;;;;0;0;0;0;0;0;0;0;0;0;Town Hall Pickup;Town Hall Placing;;0;0;0;0;7;;1;;0;0;0;0;0;;;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;Defense;0;0;0;100;0;0;0;0;0;0;0;0;;0
